自由党|板垣退助が党首の党
立憲改進党|大隈重信が党首の党
福沢諭吉|学問のすすめ
伊藤博文|初代内閣総理大臣
三国協商|第一次世界大戦で、ロシア・英国・仏などをなんと読んだか
三国同盟|第一次世界大戦で、ドイツ・オーストリアなどを合わせてなんとよんだか
アメリカ|第一次世界大戦においてはじめ中立だったが、1917年にロシア・英国・仏などの側にたって参戦した国はどこか
レーニン|第一次世界大戦中、ロシアの革命。。。指導者
ソビエト社会主義共和国連邦|ロシアは何と言う国になったか
日英同盟|日本は何を理由に第一次世界大戦に参戦しましたか
ベルサイユ条約|講和会議、パリ郊外。条約
ウィルソン|国際連盟の設立を大安したアメリカ合衆国の大統領
民族自決|各民族が自分たちのことは自分たちで決める権利があるとうい考え方
下関条約|日清戦争の条約
三国干渉|ロシア・仏・ドイツの鑑賞
日英同盟|英国と??同盟を結ぶ
日露戦争|1904年??戦争がおこる
三民主義|そんぶんが??を唱える
八幡製鉄所|??の設立・・・官営製鉄所
フェノロサ|美術。岡倉天心と??が日本美術を復興
横山大観|日本画
黒田清輝|洋画
原文一致|文学
夏目漱石|我輩は猫である
辛亥革命|そんぶんの指導で??がおこる
中華民国|??を建国・・・アジア最初の共和国
国会規制同盟|1880年につくられた国会開設のための全国団体をなんと言いますか
伊藤博文|ヨーロッパへ留学して記憶五、憲法草案の作成を始めたのは誰ですか
貴族院|皇族、華族、天皇から任命された議員からなる??
衆議院|国民によって選挙された議員からなる??
15|衆議院の選挙の有権者は、直接国税??円以上おさめた25歳以上の男子とされていた
帝国主義|軍事力によってアジアやアフリカ地域を植民地とする動き
ノルマントン号事件|不平等条約改正を求める世論が高まるきっかけとなった、イギリス船が和歌山県沖で沈没し、日本人乗客全員が水死した事件をなんと言いますか。
イギリス|日清戦争直前に領事裁判権の撤廃に応じた国。陸奥宗光
小村寿太郎|関税自主権の完全回復。外務大臣
日清戦争|甲午農民戦争をきっかけに始まった戦争
ポーランド|ヒトラーを指導者とするドイツは、1939年にどこの国を侵略したか。
マレー半島|イギリス領の??に上陸
横浜市|1945年５月29日、B２９の大変態によりどこの都市が焼き払われたか
ドイツ|米ソの対立が深まるなかで、1949年に分断されたヨーロッパの国
ベトナム|第二次世界大戦後、仏からの独立を目指したアジアの国南北分断された国
毛沢東|1949年、中華人民共和国が成立した時の共産党の指導者
朝鮮戦争|1950年、南北に分かれていた朝鮮で戦争がおこった。この戦争を
警察予備隊|治安維持を理由に日本政府につくらせたものはなんですか。
サンフランシスコ平和条約|1951年、サンフランシスコで結ばれた条約
日米安全保障条約|アメリカとの間で新たに条約が結ばれた。この条約
日ソ共同宣言|1956年、日本とソ連との間で国交が回復した
アジア・アフリカ会議|1955年、植民地支配の反対・冷戦確認した
ベトナム社会主義共和国|1976年、南と北のベトナムは統一何と言う国が成立したか
日韓基本条約|1965年、日本は大韓民国と国交を正常化。結ばれた条約を
日中平和友好条約|日本は1972年に日中正常化したあと、両国の関係を深める条約
