成長点|最も細胞分裂の盛んな部分を??という
根冠|成長点を保護する??という組織がある
細胞分裂|1つの細胞が別れて2つの細胞になることを細胞分裂という
生殖細胞|細胞には生殖にかかわる特別な??卵や精子と、それ以外の体細胞がある。
体細胞分裂|体細胞で行われる普通の細胞分裂を?という。隊細胞分裂では、分裂前と分裂後の細胞の染色体が同数である
染色体|細胞分裂が始まると核に現れる紐のようなものを??という。??は遺伝子の集合体で、??の数は生物の種類によって決まっている。??は体細胞分裂のときに複製されるので、すべての体細胞で同じ数である。酢酸オルセイン溶液や酢酸カーミン溶液などによく染まる
塩酸|細胞同士を一つ一つ離れやすくする
酢酸オルセイン溶液|細胞を生きていた状態で固定し、核や染色体を赤紫色に染めて見やすくする。カーミンではない
指で押しつぶす|細胞どうしの重なりをなくす。??で押しつぶす
無性生殖|雄雌に関係なく、親の体の一部が別れてそのまま子になることを??という。??には分裂や栄養生殖がある
分裂|アメーバやミカヅキモなどの単細胞生物は体細胞分裂で体が２つに別れることでなかまをふやす。
栄養生殖|植物で、体の一部から芽が出てそのまま育ちに新しい個体になることを??という
有性生殖|多くの動物、植物で行われているのが押すとメスが関わって子孫を作る??である。??では受精によってできた受精卵から生物の個体となる。受精卵は生殖細胞が受精することで作られる
生殖細胞|生殖のための特別な細胞を??という。細胞のうち??以外が体細胞である。動物、精子、卵。植物、性細胞、卵細胞
受精|性細胞の核と卵細胞の核が合体し受精卵ができること
減数分裂|生殖細胞は染色体数が体細胞の半分なので、特別な細胞分裂によって作られる。それを??という
胚|受精によってできた受精卵は1つの細胞だが、これが細胞分裂をして??となる。??はさらに細胞分裂して生物の個体となっていく。
発生|受精から成体になるまでの過程を??という。
胚|受精卵が細胞分裂を開始してから自分で食物を食べ始める間でを??という
花粉管|めしべの柱頭について花粉は子房の中の胚珠に向かって花粉を伸ばす。精細胞が移動していき??が胚珠に達すると精細胞の核と胚珠の中の卵細胞の核が合体する。受精
種子|受精卵は細胞分裂して胚になる。胚珠全体は??になる。
果実|子房は??になる
原子核|プラスの電気をもった陽子と電気をもたない中性子からできている。
原子|??はプラスの電気をもった原子核の周りにマイナスの電気をもった電子がある。一つの原子の中にある電子と陽子は同数である。
等しい|電子の持つ-の電気の領と陽子のもつ+の電気の量は??。また、一つの原子の中に電子と陽子はどう吸うあるので原子全体では電気的に中性となっている。
イオン|原子が電気を帯びたもの
陽イオン|原子が電子を失って+に帯電したもの。??になるのは金属や水素である。例、、、ナトリウムイオン、水素イオン、アンモニウムイオン
陰イオン|原子が電子を受け取って-に帯電したものを??という。例、、、塩化物イオン、水酸化物イオン、硝酸イオン、硫化物イオン。
イオン式|イオンを表すには元素記号の右上に+や-をつけて表す。??式
多原子イオン|複数の原子がひとかたまりになって1つのイオンとしてはたらく。
電離|水にとけて陽イオンとインイオンに別れることを電離という
電解質|塩化水素のように水に溶けて電離する物質を電解質という。
電離式|電解質が電離するようすを化学式とイオン式で表したもの
イオン化傾向|金属は種類によって陽イオンへのなりやすさが異なる。それをなんというか
一次電池|充電できない電池。マンガン乾電池、アルカリ・マンガン乾電池、リチウム電池、酸化銀電池
二次電池|充電できる電池。鉛蓄電池、リチウムイオン電池、ニッケル水素電池など
燃料電池|水の電気分解の逆の化学変化を利用して電気エネルギーを取り出す装置
