樺太・千島交換条約|ロシア領の樺太と日本領の千島
屯田兵|武器を持った農民、北海道、開拓使
日清修好条規|1871、日と清??条規
琉球処分|台湾に琉球島民が漂着、殺された。琉球を日本の領土とし沖縄を置く
征韓論|武力で開国をせまる、西郷板垣士族など、岩倉らと対立
江華島事件|1875の事件..江
日朝修好条規|朝鮮にとって不平等な内容??条規
岩倉使節団|公の岩倉具視、薩の大久保、長の木戸ら。幕末の不平等条約改正の予備交渉。欧米の視察。征韓論と対立.
明治六年の政変|板垣、西郷ら政府を去る??政変
廃刀令|士族の不満??令
秩禄処分|士族の不満。処分
西南戦争|日本各地で反乱が沖、1877年、西郷軍vs明治政府軍←勝
富国強兵|兵を強くする
殖産興業|近代産業の育成
官営工場|富岡製糸場等
文明開化|西洋の文化、生活、太陽暦、１日２４時間制など、郵便制度、福沢諭吉「学問のすすめ」
自由民権運動|板垣退助、立志社??運動
民撰議院設立建白書|意見書
地方議会|政府が開設したもの、1878、自由民主権派が主流??議会
国会期成同盟|1880大阪で結成したもの??同盟会
大隈重信|大隈vs伊藤、政府を去る(明治十四年の政変)
伊藤博文|大隈vs伊藤、国会開設の勅語
大日本帝国憲法|1889年2月11日に発布されたもの、君主権の強いプロイセンの憲法を手本とした、天皇主権、臣民の権利〜法律の範囲内で保証
帝国議会|貴族院：天皇が華族等から任命、衆議院：直接国税15円以上収める、25歳以上の男子が選ぶ??議会
教育勅語|1890年明治天皇が出した教育の基本方針、忠君愛国
欧化政策|例えば鹿鳴館など
ノルマントン号事件|1886年??号事件、条約改正の世論が高まる。憲法制定。
大津事件|1891年??事件
日英通商航海条約|領事裁判権を撤廃、陸奥宗光外相??通商航海条約
日英同盟|日と英の同盟
関税自主権回復|1911年、小村寿太郎外相、関税
壬午事変|朝鮮暴動1882??事変
甲午農民戦争|1894年ヨーロッパの文化を批判。農民が主人公の戦争。唐楽という民間宗教を信じる農民、支持の改革、外国人の排斥を求めた。朝鮮は清に出兵を求めた。日本も出兵
日清戦争|甲午農民戦争に出兵した日本軍~~~戦争
下関条約|日清戦争~~~清は、朝鮮の独立を認める、遼東半島、台湾などを日本に譲る、日本に賠償金を支払う。
三国干渉|1895年、ロシア、ドイツ、フランスが清に遼東半島を返すよう要求
義和団事件|1900年日本やロシアなど外国の軍隊が鎮圧。ロシア、満州に兵をのこす。
日英同盟|1902年ロシアの東アジア進出をとめるため利害の一致している国と結んだ同盟
日露戦争|1904旅順攻撃、奉天の会戦、日本海海戦、ロシア国内〜血の日曜日事件、日本国内〜戦費が不足
ポーツマス条約|アメリカの仲介でロシアと結んだ条約、日本により韓国支配をロシアに認めさせる、日本に遼東半島南部を譲る、南満州鉄道をゆずる南樺太をゆずる,、賠償金なし＝＞日比谷焼き打ち事件
欧米列強|日本は日露戦争後なんの仲間入りをしたか
韓国統監府|韓国併合前に韓国においたもの
韓国併合|1910年ロシアの脅威から日本の安全、満州を守るため朝鮮総督府をおく
台湾総督府|日清戦争のあと下関条約??総督府
三民主義|中国では清朝をたおす動き〜??を唱えた孫文。民を考えていく
辛亥革命|1911年、孫文が中心となって成長を倒す、革命
中華民国|1921年アジア初の共和制、そんぶんが臨時大総統、首都、南京
サラエボ事件|1941年、第一次世界大戦の引き金となった事件
三国同盟|サラエボ事件、オーストリア、ドイツ、イタリア??同盟
三国協商|サラエボ事件、セルビア、ロシア、フランス、イギリス、日本、連合国側
二十一か条の要求|1915年中国政府に大部分を認めさせたもの、山東省のドイツ権益を日本が引き継ぐ、南満州鉄道の租借延長など
ロシア革命|1917年、戦争が長引くー生活苦ー労働者、兵士の反乱ー皇帝退位３月＞ドイツと講和
社会主義国家|11月、レーニンのもと??国家
シベリア出兵|ロシアの革命が広がらないように日本が出兵??出兵
ソ連|1922に成立したもの国の名前。略称でも可。
計画経済|ソ連が成立し、スターリンがおこなった??経済
ベルサイユ条約|1919年パリ講和会議で結んだ条約
国際連盟|ウィルソン大統領（米）の提案、民族自決
五・四運動|中国1919年５月４日反日運動
三・一独立運動|朝鮮３月１日
デモクラシー|民主主義
ガンディー|インド~非暴力、不服従を唱える
成金|第一次大戦後の日本~大戦景気
第一次護憲運動|1913桂太郎内閣退陣??運動
吉野作造|民本主義
美濃部達吉|天皇機関説
大正デモクラシー|民本主義、天皇機関説等
シベリア出兵|??出兵
米騒動|?騒動。寺内内閣退陣1918年
