theater|映画館
what's the matter?|どうしたのmatter
no way|強く否定する
loud|音が大きい
softly|優しく穏やかに
mistake|間違え
calm|落ち着く　静まる
fight|戦う
is right|〜がただしいと肯定する
calm down|なだめる
worse|<bad
worst|<bad st
country|国
feel|感じる
happen|起こる
unfair|不平等
guitarist|ギターリスト
what happened to ?|何かあったのですか？happen
not at all|少しも~ない
could you|依頼する
try on|来てみてもいいですか？
upset|動揺して
more|もっと
most|もっとも
guy|みんな
the other day|先日は
get upset|動揺する
it's time to|~する時間です
performance|演奏
mess|~ちらかす
do it|うまくやる
mess up|しくじる
not at all|全然そんなことない
wrong|調子が悪い
mean|を意味する
believe|信じる
either|~もまたしない否定文
move back to|~へ戻る
so much|非常に　とても
we'll|we willの略
what's wrong?|どうしたの wrong
what do you mean?|相手の発言の意図をたずねる
thought|<thinkの過去形
sold|<sellの過去形
woke|<wakeの過去形
began|<beginの過去形
ago|~前に
real|現実の
lives|lifeの複数形
east|東
earthquake|地震
the great east japan earthquake|東日本大震災
investigate|
condition|状況
inside|~の内側に
damaged|損害を受けた
into|~の中へ,~の中に
nuclear|核の原子力の
power station|発電所
dangerous|危険な
human|人間
a long time ago|ずいぶん前に
go into|~の中に入る
it is too for|...には~すぎる
another|別の、もうひとつの
scientist|科学者
became|becomeの過去形
interested|興味をもった
university|大学
cyborg-type|サイボーグ型の
suit|スーツ
become intersted in|~に興味をもつようになる
as a child|子供の頃に
put|~を置く
carry|~を運ぶ
kilogram|キログラム
useful|役に立つ、有用な
nurse|看護師
disabled|障害のある
stair|階段
put on ~|~を身につける
up and down|上がったり下がったり
create|~を創造する
relationship|関係、関連
between|~の間に
technology|科学技術
support|~を支援する、~を支持する
fit|確かで、確実で
form|体型、外観
bright|輝かしい、明るい
between and|~と...の間に
fit to|~を...に合わせる
open up|~を開く
it is certain that|~なのは確かである
airport|空港
surprise|驚くべきこと
logo|ロゴ
print|印刷する
design|~をデザインする
on the back|後側に
everything|すべて、あらゆるもの
if|もし~なら
hope|~を望む
that's all right|いいんですよ、どういたしまして
keep in touch|連絡をとりあう
come over|行く、でかける
everybody|だれでも、みんな
traffic|交通
jam|混雑
traffic jam|交通渋滞
be caught in|~に襲われる
make it|間に合う
chocolate|チョコレート
treasure|宝物
