let|させる
introduce|紹介する
top|頂上
hill|丘
foreign|外国の
school trip|修学旅行
as well|~もまた
popcorn|ポップコーン
relaxed|くつろいだ
afraid|おそれて
e-mail|電子メール
not all of it|すべてがそうということではない
cheer ~ up|~を元気づける
doesn't he?|彼はしますねと念を押す
I'm afraid|残念ながらと反対の意見を述べる
card|カード
dish|皿
do the dishes|皿洗いをする
fine arts|美術
industrial arts and home economics|技術・家庭
among|の間に
France|仏
Ghana|ガーナ
China|中国
the United States|アメリカ
Yokohama International Festa|横浜国際フェスタ
international|国際的な
interview|インタビューする
report|レポート、報告書
find out|事実を見つける、知る
some ~ ,others...|~という人もいれば、~という人もいる
for a long time|長い間
known|knowの過去分詞
been|beの過去
since|~以来
Asian|アジア人の
polite|礼儀正しい。<=>rude
assistant|店員
Spain|スペイン
Brazil|ブラジル
scenary|景色
fantastic|素晴らしい
already|もう
photo|写真
the Railway Museum|鉄道博物館
seen|seeの過去分詞
engineering|高額
luckily|幸運にも
engineer|エンジニア
waste|無駄にする
energy|エネルギー
vending machine|自動販売機
machine|機械
wash|洗う
exercise|運動
done|doの過去分詞
hero|英雄
championship|選手権、優勝者の地位
result|結果
teamwork|チームワーク
young|若い
come home a hero|英雄として故郷に帰る
Daisen-in Temple|大仙院
camera|カメラ
get~back|戻ってくる
bus stop|バス停
several|いくつかの
able|できる
be able to|~することが出来る
catch up|追いつく
person|人
